seed | 拓扑 | |D′|正 | |D′|逆 | 正序D′里非法条数/|D′| | 不变量
------------------------------------------------------------
   0 | chain        |     3 |     2 |   2/  3 | ✓
   1 | chain        |     3 |     4 |   3/  3 | ✓
   2 | chain        |     3 |     3 |   3/  3 | ✓
   3 | branch_merge |     5 |     4 |   3/  5 | ✓
   4 | branch_merge |     4 |     4 |   3/  4 | ✓
   5 | shortcut     |     5 |     3 |   3/  5 | ✓
   6 | shortcut     |     2 |     3 |   2/  2 | ✓
   7 | shortcut     |     2 |     3 |   2/  2 | ✓
   8 | loop         |     4 |     3 |   3/  4 | ✓
   9 | loop         |     5 |     4 |   3/  5 | ✓
