scope	kind	mtime_local	source_path	package_path
存量学习包_0917整理纳入	论文原文与拆解	2026-08-23 11:55:43.280176400 -0700	/mnt/d/MyResearch/MAS_Safety_Project/research/papers_lu/teardown-joint-20260813/03_UAF_PN_VFG.md	03_鲁组其他论文与研究谱系/03_UAF_PN_VFG/论文原文与拆解/teardown-joint-20260813/03_UAF_PN_VFG.md
存量学习包_0917整理纳入	其他相关产出	2026-08-12T18:13:35+00:00	/mnt/d/MyResearch/UAF-PN-VFG-2025-IEEEAccess.pdf	03_鲁组其他论文与研究谱系/03_UAF_PN_VFG/外层研究材料/UAF-PN-VFG-2025-IEEEAccess.pdf
存量学习包_0917整理纳入	论文原文与拆解	2026-08-12 06:16:38.077287800 -0700	/mnt/d/MyResearch/MAS_Safety_Project/research/papers_lu/UAF-PN-VFG-2025-IEEEAccess.pdf	03_鲁组其他论文与研究谱系/03_UAF_PN_VFG/论文原文与拆解/UAF-PN-VFG-2025-IEEEAccess.pdf
